Name,Dominant Discipline,Alcohol Sales,Location,loacation,Address
Anthony Peters' Tap Dance Seattle,Arts/Cultural Training or Education,,47.6777479,-122.3280274,6600 1st Ave NE Seattle WA 98115
Alki Community Center,Community Center,,47.577271,-122.407364,5817 SW Stevens St Seattle WA 98116
Seattle Film Institute,Arts/Cultural Training or Education,N,47.64891855,-122.3771253,3210 16th Ave W Seattle WA 98119
Fiber Gallery,Service/Supply,,47.68861,-122.355293,8212 Greenwood Avenue North Seattle WA 98103
Julia's on Broadway,Performance,,47.621319,-122.320541,300 Broadway East Seattle WA 98102
Artforte Gallery,Visual,,47.5998538,-122.3331316,307 Occidental Ave S Seattle WA 98104
SOIL,,,47.60119,-122.330463,112 3rd Ave S
Aaron Brothers Art & Framing,Service/Supply,,47.610031,-122.338524,1513 3rd Ave Seattle WA 98101
Push/Pull,Visual,N,,,
Cornish College of the Arts-Centennial Lab,Arts/Cultural Training or Education,,47.6174134,-122.3349055,1000 Virginia St Seattle WA 98101
Sisko Gallery,Studios,,47.6183638,-122.3572268,3126 Elliot Ave Seattle WA 98121
Tara Academy of Irish Dance Studio,Arts/Cultural Training or Education,,47.692089,-122.355721,8551 Greenwood Avenue North Suite 4 Seattle WA 98103
Northgate Community Center,Community Center,,47.705193,-122.322426,10510 5th Ave NE Seattle WA 98125
Blue Cone Studios,Studios,N,47.614728,-122.31782,1520 11th Ave, Door B
Ravenna-Eckstein Community Center & Yesler,Community Center,,47.601715,-122.320429,917 E Yesler Way Seattle WA 98122
Seattle Academy of Arts and Sciences,Arts/Cultural Training or Education,,47.6127129,-122.3163494,1201 E Union St Seattle WA 98122
Thrive Art School,Visual,N,47.675001,-122.303815,6329 Ravenna Ave NE Seattle WA 98115
World Beads,Service/Supply,,47.610974,-122.34275,98 Virginia St Seattle WA 98101
Washington Ensemble Theatre (CLOSED),Performance,Y,47.6247086,-122.307185,608 19th Ave E Seattle WA 98112
Seattle Yarn,Service/Supply,N,47.5511485,-122.3874063,5633 California Ave SW Seattle WA 98136
St. Stephens Episcopal Church,Multi-use,,47.661064,-122.275932,4805 NE 45th St Seattle WA 98105
The Control Room,Studios,,47.66909,-122.385796,2220 NW Market St Seattle WA 98107
Burke Museum,Arts/Cultural Training or Education,Y,47.6609225,-122.3151058,17 Ave NE and Northeast 45th St Seattle WA 98105
High Point Community Center,Community Center,,47.540237,-122.37336,6920 34th Ave SW Seattle WA 98126
Woodside/Braseth Gallery,Visual,N,47.6171641,-122.3374413,2101 9th Ave Seattle WA 98121
Howard House,Visual,,47.602619,-122.3323144,604 2nd Ave Seattle WA 98104
Dakota Art Store,Visual,N,47.66867,-122.382344,2000 NW Market St Seattle WA 98107
Cinerama,Cinema,N,47.6141557,-122.3413991,2100 4th Ave Seattle WA 98121
The Movement Lab,Multi-use,N,47.7203793,-122.2979988,4336 University Way NE Seattle WA 98105
Veronica Mt Baker Lofts,Live/Work,,47.577168,-122.297668,2915 Rainer Avenue South, Suite 12B Seattle WA 98144
Porchlight Coffee & Records,Music,,47.614417,-122.314238,1517 14th Ave Seattle WA 98122
Seattle Center Pottery Northwest,Arts/Cultural Training or Education,Y,47.6207729,-122.3551686,226 1st Ave N Seattle WA 98109
Tune HiFi,Music,,47.612072,-122.344917,2121 1st Ave Seattle WA 98121
Creative Music Adventures,Service/Supply,,47.661797,-122.340996,4501 Interlake Ave N #2 Seattle WA 98103
